Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Part of Target Population,Main Supervising District,Recidivism - Return to Prison,Release Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,878,C Felony,Violent,Other Violent
2010,2013,White - Hispanic,45-54,D Felony,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,881,D Felony,Property,Forgery/Fraud
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,881,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,882,B Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,Yes,5JD,Yes,Parole,889,Aggravated Misdemeanor,Drug,Drug Possession
2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Murder/Manslaughter,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,892,C Felony,Violent,Robbery
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Traffic,Parole,Yes,5JD,Yes,Parole,893,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,893,D Felony,Violent,Assault
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,Yes,7JD,Yes,Parole,898,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,899,Aggravated Misdemeanor,Property,Theft
2010,2013,Black - Non-Hispanic,25-34,D Felony,Violent,Other Violent,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,901,Aggravated Misdemeanor,Drug,Drug Possession
2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,905,D Felony,Property,Forgery/Fraud
2010,2013,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,906,D Felony,Property,Theft
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,908,Serious Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,910,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,Yes,6JD,Yes,Parole,910,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,910,C Felony,Drug,Trafficking
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,8JD,Yes,Parole,910,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,912,D Felony,Property,Theft
2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,Sex Offender Registry/Residency,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,912,Aggravated Misdemeanor,Public Order,Other Public Order
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,912,Aggravated Misdemeanor,Public Order,Other Public Order
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,912,C Felony,Drug,Trafficking
2010,2013,Black - Non-Hispanic,45-54,D Felony,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,914,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,Black - Non-Hispanic,35-44,C Felony,Violent,Robbery,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,916,C Felony,Drug,Trafficking
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,918,D Felony,Public Order,Weapons
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,Yes,3JD,Yes,Parole,920,C Felony,Drug,Trafficking
2010,2013,White - Hispanic,35-44,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,920,Aggravated Misdemeanor,Public Order,OWI
2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Vandalism,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,921,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,Yes,5JD,Yes,Parole,922,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,Yes,1JD,Yes,Parole,924,D Felony,Violent,Assault
2010,2013,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,925,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,926,Aggravated Misdemeanor,Public Order,OWI
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,929,Aggravated Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,929,D Felony,Property,Burglary
2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Property,Theft,Parole,Yes,1JD,Yes,Parole,932,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,Black - Non-Hispanic,25-34,D Felony,Drug,Other Drug,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,932,D Felony,Property,Theft
2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,Yes,8JD,Yes,Parole,934,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,Parole,Yes,2JD,Yes,Parole,935,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,Yes,8JD,Yes,Parole,936,D Felony,Public Order,Weapons
2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,939,Aggravated Misdemeanor,Violent,Assault
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,940,C Felony,Property,Theft
2010,2013,Black - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,941,D Felony,Public Order,Weapons
2010,2013,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,Yes,1JD,Yes,Parole,943,Serious Misdemeanor,Violent,Assault
2010,2013,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,944,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Parole,Yes,5JD,Yes,Parole,944,Aggravated Misdemeanor,Drug,Drug Possession
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,Yes,5JD,Yes,Parole,944,Aggravated Misdemeanor,Property,Forgery/Fraud
2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,Yes,5JD,Yes,Parole,946,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,947,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,Yes,7JD,Yes,Parole,948,Aggravated Misdemeanor,Public Order,OWI
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,949,D Felony,Property,Theft
2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Drug,Drug Possession,Parole,Yes,1JD,Yes,Parole,951,Aggravated Misdemeanor,Drug,Drug Possession
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,952,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,954,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,955,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,Yes,2JD,Yes,Parole,958,C Felony,Property,Arson
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,962,D Felony,Property,Burglary
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,Yes,1JD,Yes,Parole,963,C Felony,Property,Burglary
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,963,Aggravated Misdemeanor,Public Order,Other Public Order
2010,2013,Black - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,971,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,971,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,972,D Felony,Property,Burglary
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Other Drug,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,974,D Felony,Public Order,OWI
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,976,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,Yes,8JD,Yes,Parole,979,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,Weapons,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,981,B Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,983,D Felony,Property,Burglary
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,988,Aggravated Misdemeanor,Property,Vandalism
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,988,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,Yes,6JD,Yes,Parole,998,B Felony,Violent,Other Violent
2010,2013,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,Yes,8JD,Yes,Parole,1001,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,Black - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,Yes,7JD,Yes,Parole,1003,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,Yes,1JD,Yes,Parole,1005,Aggravated Misdemeanor,Public Order,OWI
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1005,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1005,C Felony,Property,Burglary
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1014,C Felony,Violent,Sex
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Drug Possession,Parole,Yes,1JD,Yes,Parole,1014,Aggravated Misdemeanor,Property,Burglary
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,Yes,6JD,Yes,Parole,1015,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1016,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1018,D Felony,Public Order,OWI
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,1021,B Felony,Drug,Trafficking
2010,2013,Black - Non-Hispanic,45-54,C Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1022,D Felony,Property,Burglary
2010,2013,White - Non-Hispanic,35-44,B Felony,Violent,Murder/Manslaughter,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1023,D Felony,Violent,Other Violent
2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,Yes,5JD,Yes,Parole,1025,D Felony,Public Order,OWI
2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1025,Aggravated Misdemeanor,Property,Theft
2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1025,D Felony,Public Order,Traffic
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1025,Aggravated Misdemeanor,Property,Theft
2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,Yes,1JD,Yes,Parole,1026,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,Yes,7JD,Yes,Parole,1027,Serious Misdemeanor,Public Order,OWI
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Drug,Drug Possession,Parole,Yes,8JD,Yes,Parole,1032,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,Yes,6JD,Yes,Parole,1033,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1034,D Felony,Violent,Assault
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1035,Aggravated Misdemeanor,Property,Theft
2010,2013,Black - Non-Hispanic,45-54,D Felony,Public Order,Sex Offender Registry/Residency,Parole,Yes,1JD,Yes,Parole,1037,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1038,D Felony,Public Order,Other Public Order
2010,2013,Black - Non-Hispanic,35-44,Serious Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1039,Aggravated Misdemeanor,Violent,Assault
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1040,C Felony,Property,Burglary
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,OWI,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1042,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Parole,Yes,5JD,Yes,Parole,1044,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Yes,1JD,Yes,Parole,1046,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,Yes,8JD,Yes,Parole,1046,D Felony,Public Order,OWI
2010,2013,American Indian or Alaska Native - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,1047,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1048,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1049,D Felony,Property,Theft
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1050,D Felony,Public Order,Weapons
2010,2013,White - Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,Yes,4JD,Yes,Parole,1053,C Felony,Property,Arson
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1054,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,Yes,1JD,Yes,Parole,1055,Aggravated Misdemeanor,Property,Theft
2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Parole,Yes,1JD,Yes,Parole,1058,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Traffic,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1060,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1061,D Felony,Public Order,OWI
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,Yes,2JD,Yes,Parole,1064,Serious Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1069,C Felony,Property,Theft
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Property,Burglary,Parole,Yes,2JD,Yes,Parole,1069,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1075,Aggravated Misdemeanor,Violent,Assault
2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1076,Aggravated Misdemeanor,Violent,Assault
2010,2013,Black - Non-Hispanic,25-34,D Felony,Violent,Other Violent,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1083,D Felony,Drug,Other Drug
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1083,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1086,D Felony,Property,Theft
2010,2013,White - Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,2JD,Yes,Parole,1087,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Parole,Yes,2JD,Yes,Parole,1087,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,Under 25,Serious Misdemeanor,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1089,D Felony,Property,Forgery/Fraud
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1090,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,Yes,8JD,Yes,Parole,1091,D Felony,Property,Theft
2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1091,Aggravated Misdemeanor,Property,Vandalism
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1093,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,1094,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,Yes,1JD,Yes,Parole,1094,Aggravated Misdemeanor,Property,Theft
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Parole,Yes,5JD,Yes,Parole,21,Aggravated Misdemeanor,Public Order,Alcohol
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,Yes,1JD,Yes,Parole,35,Aggravated Misdemeanor,Public Order,OWI
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,Yes,2JD,Yes,Special Sentence,37,Serious Misdemeanor,Public Order,Flight/Escape
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,39,D Felony,Property,Forgery/Fraud
2011,2014,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,64,Serious Misdemeanor,Drug,Drug Possession
2011,2014,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,66,D Felony,Public Order,Flight/Escape
2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Forgery/Fraud,Parole,Yes,5JD,Yes,Parole,68,Aggravated Misdemeanor,Property,Theft
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole,Yes,3JD,Yes,Parole,69,C Felony,Property,Burglary
2011,2014,White - Non-Hispanic,35-44,B Felony,Other,Other Criminal,Parole,Yes,3JD,Yes,Parole,70,B Felony,Other,Other Criminal
2011,2014,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,Yes,2JD,Yes,Parole,74,C Felony,Property,Burglary
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,74,Aggravated Misdemeanor,Public Order,Alcohol
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,79,D Felony,Violent,Assault
2011,2014,Black - Hispanic,35-44,D Felony,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,84,Aggravated Misdemeanor,Property,Theft
2011,2014,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,87,Aggravated Misdemeanor,Drug,Drug Possession
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,Yes,3JD,Yes,Parole,88,D Felony,Property,Forgery/Fraud
2011,2014,White - Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Parole,Yes,7JD,Yes,Parole,91,Aggravated Misdemeanor,Property,Theft
2011,2014,Black - Non-Hispanic,55 and Older,D Felony,Public Order,OWI,Parole,Yes,5JD,Yes,Parole,94,D Felony,Public Order,OWI
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,Yes,2JD,Yes,Parole,98,D Felony,Property,Theft
2011,2014,White - Non-Hispanic,35-44,B Felony,Property,Arson,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,99,D Felony,Violent,Assault
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,104,Aggravated Misdemeanor,Property,Theft
2011,2014,White - Non-Hispanic,55 and Older,C Felony,Property,Burglary,Parole,Yes,5JD,Yes,Parole,104,C Felony,Property,Burglary
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,107,Aggravated Misdemeanor,Violent,Assault
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,111,D Felony,Violent,Assault
2011,2014,White - Non-Hispanic,25-34,D Felony,Other,Other Criminal,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,113,Felony - Enhancement to Original Penalty,Property,Forgery/Fraud
2011,2014,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,114,Aggravated Misdemeanor,Violent,Assault
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Weapons,Parole,Yes,1JD,Yes,Parole,119,D Felony,Drug,Trafficking
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Burglary,Parole,Yes,2JD,Yes,Parole,121,Aggravated Misdemeanor,Public Order,Alcohol
2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,122,C Felony,Drug,Trafficking
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,126,Aggravated Misdemeanor,Public Order,Alcohol
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Parole,No,,Yes,Parole,126,C Felony,Property,Theft
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,126,Aggravated Misdemeanor,Property,Theft
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,128,Aggravated Misdemeanor,Violent,Assault
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole,Yes,5JD,Yes,Parole,129,D Felony,Public Order,Weapons
2011,2014,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,Yes,1JD,Yes,Parole,134,D Felony,Property,Theft
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Vandalism,Parole,Yes,1JD,Yes,Parole,134,Aggravated Misdemeanor,Violent,Assault
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,Yes,2JD,Yes,Parole,134,Serious Misdemeanor,Violent,Assault
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,Yes,7JD,Yes,Parole,135,C Felony,Drug,Trafficking
2011,2014,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Yes,7JD,Yes,Parole,140,D Felony,Public Order,Traffic
